iter	Passed	Remaining
701	1489	532
702	1493	531
703	1497	529
704	1502	528
705	1504	526
706	1505	523
707	1506	521
708	1508	519
709	1511	517
710	1516	516
711	1520	514
712	1521	512
713	1522	509
714	1523	507
715	1525	505
716	1528	503
717	1532	501
718	1536	500
719	1537	497
720	1538	495
721	1539	492
722	1543	490
723	1547	489
724	1551	487
725	1553	485
726	1554	483
727	1555	480
728	1556	478
729	1561	476
730	1564	475
731	1567	473
732	1569	471
733	1570	468
734	1571	466
735	1573	464
736	1577	462
737	1581	460
738	1585	459
739	1586	456
740	1588	454
741	1589	452
742	1592	450
743	1595	448
744	1598	446
745	1602	444
746	1603	442
747	1604	439
748	1605	437
749	1610	435
750	1616	434
751	1618	432
752	1619	430
753	1620	427
754	1621	425
755	1623	422
756	1627	421
757	1632	419
758	1635	417
759	1636	415
760	1637	413
761	1638	410
762	1642	408
763	1646	407
764	1650	405
765	1652	403
766	1653	400
767	1654	398
768	1655	396
769	1658	394
770	1662	392
771	1667	391
772	1668	388
773	1670	386
774	1671	383
775	1674	382
776	1678	380
777	1683	378
778	1684	376
779	1685	373
780	1686	371
781	1689	369
782	1692	367
783	1698	366
784	1700	364
785	1701	361
786	1702	359
787	1703	356
788	1705	354
789	1705	351
790	1707	349
791	1711	347
792	1713	345
793	1717	343
794	1718	341
795	1719	339
796	1720	336
797	1724	334
798	1729	333
799	1733	331
800	1734	329
801	1735	326
802	1736	324
803	1737	321
804	1739	319
805	1740	317
806	1741	315
807	1744	313
808	1747	311
809	1750	308
810	1751	306
811	1752	304
812	1757	302
813	1762	300
814	1763	298
815	1763	296
816	1764	293
817	1765	291
818	1769	289
819	1775	287
820	1778	285
821	1782	284
822	1783	281
823	1784	279
824	1786	277
825	1787	274
826	1792	273
827	1795	271
828	1799	269
829	1800	266
830	1801	264
831	1802	262
832	1807	260
833	1811	258
834	1815	256
835	1816	254
836	1817	251
837	1818	249
838	1821	247
839	1826	245
840	1829	243
841	1831	241
842	1832	239
843	1834	236
844	1835	234
845	1837	232
846	1840	230
847	1844	228
848	1848	226
849	1849	224
850	1850	221
851	1851	219
852	1852	217
853	1855	215
854	1859	213
855	1863	211
856	1865	208
857	1866	206
858	1867	204
859	1868	202
860	1870	199
861	1876	198
862	1880	196
863	1881	193
864	1882	191
865	1883	189
866	1884	186
867	1886	184
868	1890	182
869	1893	180
870	1896	178
871	1897	176
872	1898	174
873	1899	171
874	1900	169
875	1903	167
876	1906	165
877	1910	163
878	1914	161
879	1915	158
880	1916	156
881	1917	154
882	1921	152
883	1924	150
884	1928	148
885	1930	145
886	1931	143
887	1932	141
888	1933	139
889	1937	137
890	1941	135
891	1945	133
892	1947	130
893	1948	128
894	1949	126
895	1951	124
896	1954	122
897	1957	119
898	1961	117
899	1963	115
900	1964	113
901	1965	111
902	1966	108
903	1971	106
904	1975	104
905	1979	102
906	1980	100
907	1981	98
908	1982	95
909	1987	93
910	1990	91
911	1993	89
912	1996	87
913	1997	85
914	1998	82
915	1999	80
916	2002	78
917	2005	76
918	2008	74
919	2012	72
